,Date,Coeff1,Coeff2,first_high_tide,second_high_tide,first_low_tide,second_low_tide
0,lundi 1,77,76,10h27,22h36,05h16,17h26
1,mardi 2,75,73,10h59,23h09,05h47,17h57
2,mercredi 3,70,67,11h32,23h44,06h17,18h30
3,jeudi 4,64,60,12h06,00h21,06h50,19h05
4,vendredi 5,56,53,12h47,01h08,07h26,19h46
5,samedi 6,50,48,13h41,02h14,08h12,20h44
6,dimanche 7,47,48,14h58,03h41,09h18,22h06
7,lundi 8,52,56,16h30,05h11,10h50,23h35
8,mardi 9,63,69,17h53,06h27,12h18,00h58
9,mercredi 10,77,83,18h59,07h30,13h33,02h08
10,jeudi 11,90,95,19h55,08h24,14h41,03h12
11,vendredi 12,99,102,20h45,09h13,15h39,04h06
12,samedi 13,103,103,21h31,09h56,16h27,04h52
13,dimanche 14,102,99,22h13,10h36,17h11,05h33
14,lundi 15,95,90,22h51,11h12,17h48,06h08
15,mardi 16,84,77,23h27,11h45,18h20,06h39
16,mercredi 17,70,63,00h00,12h17,18h49,07h05
17,jeudi 18,55,48,00h34,12h51,19h16,07h33
18,vendredi 19,41,36,01h15,13h38,19h47,08h09
19,samedi 20,32,30,02h21,14h59,20h37,09h13
20,dimanche 21,31,34,04h08,16h45,22h07,10h53
21,lundi 22,39,44,05h34,17h56,23h47,12h20
22,mardi 23,49,55,06h29,18h45,01h02,13h21
23,mercredi 24,60,65,07h13,19h25,01h51,14h09
24,jeudi 25,70,74,07h51,20h02,02h35,14h51
25,vendredi 26,78,81,08h27,20h37,03h15,15h29
26,samedi 27,84,86,09h00,21h11,03h51,16h05
27,dimanche 28,87,88,09h33,21h43,04h26,16h38
28,lundi 29,88,87,10h04,22h15,04h58,17h09
29,mardi 30,85,83,10h35,22h46,05h28,17h39
