,Date,Coeff1,first_high_tide,first_low_tide,Coeff2,second_high_tide,second_low_tide
0,samedi 1,72,11h14,06h04,65,23h34,18h22
1,dimanche 2,58,11h53,06h37,51,00h21,19h03
2,lundi 3,44,12h49,07h22,40,01h39,20h03
3,mardi 4,40,14h36,08h37,42,03h42,21h44
4,mercredi 5,49,16h30,10h40,56,05h14,23h28
5,jeudi 6,65,17h43,12h13,73,06h16,00h48
6,vendredi 7,80,18h37,13h22,87,07h04,01h48
7,samedi 8,93,19h23,14h16,97,07h47,02h40
8,dimanche 9,100,20h05,15h04,101,08h26,03h25
9,lundi 10,101,20h43,15h45,100,09h01,04h02
10,mardi 11,98,21h19,16h19,95,09h34,04h33
11,mercredi 12,91,21h51,16h48,86,10h03,05h00
12,jeudi 13,80,22h20,17h14,74,10h30,05h23
13,vendredi 14,67,22h47,17h37,61,10h56,05h45
14,samedi 15,53,23h13,17h58,46,11h23,06h07
15,dimanche 16,39,23h44,18h22,33,11h56,06h35
16,lundi 17,27,00h30,18h58,24,12h58,07h23
17,mardi 18,24,02h38,20h07,26,15h18,09h04
18,mercredi 19,31,04h28,22h25,37,16h45,11h11
19,jeudi 20,45,05h25,23h47,51,17h37,12h13
20,vendredi 21,59,06h07,00h43,65,18h20,13h00
21,samedi 22,72,06h46,01h27,78,19h00,13h44
22,dimanche 23,83,07h24,02h10,88,19h38,14h27
23,lundi 24,92,08h00,02h52,95,20h15,15h10
24,mardi 25,97,08h36,03h32,98,20h52,15h49
25,mercredi 26,98,09h10,04h09,97,21h28,16h26
26,jeudi 27,94,09h46,04h43,90,22h05,17h01
27,vendredi 28,85,10h22,05h17,80,22h44,17h37
28,samedi 29,73,10h02,04h52,66,22h28,17h17
29,dimanche 30,59,10h49,05h32,52,23h24,18h04
